Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,333,478,1065,1518,1955,2148,2207,2178,2212,2193,2291
Ghana,0,10,64,95,127,307,440,602,604,658,926,1441
Liberia,0,38,692,819,899,1313,1329,1359,1356,1358,1365,1367
Islamic Rep. of Iran,0,585,523,524,553,580,617,694,787,840,923,1127
Pakistan,0,60,60,109,189,409,555,920,1146,1536,2232,3367
C̫te d'Ivoire,0,8,107,560,1012,1896,2454,2900,2973,3240,3764,4159
Turkey,0,1374,1407,1473,1586,1980,1811,2016,2001,1792,1733,1988
Afghanistan,0,186,242,302,473,1138,2315,3039,3665,4291,5058,6657
Bangladesh,0,25,30,67,145,434,493,634,641,670,753,1050
Various,0,3003,3003,3103,3390,3390,3442,3496,3058,2958,2889,857
Somalia,0,94,598,814,948,1701,5251,7747,7865,8497,9284,10846
Togo,0,136,228,483,959,1236,1387,1483,1498,1494,1513,1515
Mali,0,0,0,2,9,44,75,110,114,136,2088,3569
Nigeria,0,67,107,209,486,1051,1454,2154,2200,2369,2964,4192
Iraq,0,1282,1334,1354,1371,1503,1614,1843,1952,1853,1863,2294
Serbia (and Kosovo: S/RES/1244 (1999)),0,2230,2302,2475,2721,4304,4244,3530,3565,2761,2511,2673
Sudan,0,266,440,957,1277,1788,2041,2159,2145,2324,2548,2574
Eritrea,0,177,785,2705,5021,7404,9033,10377,10856,11206,11345,12666
Sri Lanka,0,463,466,499,533,786,861,974,1004,1006,605,631
